ประธาน,ลิงค์รูป,กริยา,ลิงค์รูป,คำบอกเวลา/กริยาวิเศษณ์บอกความถี่,ลิงค์รูป,
I,https://drive.google.com/file/d/1H1ieTzCmNyXXMy_smLHOdJo8WIw_ctmC/view?usp=drive_link,jump,https://drive.google.com/file/d/1ALcA2olEPSXTdVJX3dfz8ZDrXkBdQ-lE/view?usp=drive_link,always,https://drive.google.com/file/d/1xV_vP-lG-feH5idtWhFC9zgAobwgmp1V/view?usp=drive_link,Present Simple Tense
you,https://drive.google.com/file/d/10lNaeFMaxM1yv0jLkFrBuFZK116N2zHY/view?usp=drive_link,sleep,https://drive.google.com/file/d/1js614lB5Sj1L2adFPeOvurRCbTJc4ujW/view?usp=drive_link,sometimes,https://drive.google.com/file/d/1E62Fa_PH6wPL74Jndjte0gryCQok52GS/view?usp=drive_link,
we,https://drive.google.com/file/d/1U8k25o1INELDkxePJv1j8-Z68bwuhdjC/view?usp=drive_link,walk,https://drive.google.com/file/d/14u6P5qV8MX1CLXnYrjNVW516MhNnlLal/view?usp=drive_link,never,https://drive.google.com/file/d/1URXAiRALpTV-LYpCsPbIXhhhTMFIKd00/view?usp=drive_link,
they,https://drive.google.com/file/d/1rILR-vip2nG-_qSiGoBfAQaBWxFu518M/view?usp=drive_link,run,https://drive.google.com/file/d/1QhHmG3UZU2NhpfD7g7Jq5YzvsS-fHXsA/view?usp=drive_link,now,https://drive.google.com/file/d/1kMihN26w-et3BL3sqRyqYDRt9ihL7Lzw/view?usp=drive_link,Present Continuous Tense
he,https://drive.google.com/file/d/1J3SPBUnEMIxSIWfjpIBUcwNx6jxBdZ_D/view?usp=drive_link,dance,https://drive.google.com/file/d/1k8S8uY9OMBo18uKehvycGRM2nDCzpczd/view?usp=drive_link,at the moment,https://drive.google.com/file/d/1iKh-Wac6UqJEC_3o7bOiIS16x-cLd4eo/view?usp=drive_link,
she,https://drive.google.com/file/d/1WJUbr2rk42ndQZMO-5JJuAUQy3LFS9BB/view?usp=drive_link,sit,https://drive.google.com/file/d/1LLnXBmwz8N5mBZ0mCC3n2FD4BGCxhmsp/view?usp=drive_link,right now,https://drive.google.com/file/d/1jpTfsO6w335UX10DHquGI1PzM4w9ftJR/view?usp=drive_link,
it,https://drive.google.com/file/d/1eMPTpRSMR6ts4flcUDnvmv14RIzDywRh/view?usp=drive_link,stand,https://drive.google.com/file/d/1-o7FhArdJCMD-dz_1Pk3m0Jsn0ZzaXyD/view?usp=drive_link,yesterday,https://drive.google.com/file/d/1AhjfBIhruv_44MB3SDGCexGLVcT2GwmJ/view?usp=drive_link,Past Simple Tense
,,swim,https://drive.google.com/file/d/1G4v60VHxSrYPmO0pU6fcuZb2E0QSXQ0V/view?usp=drive_link,lask week,https://drive.google.com/file/d/1ASCDuVcjhyv6fTo8sC3C5wrjNrX1i-1s/view?usp=drive_link,
,,learn,https://drive.google.com/file/d/170ewdZ7kh_0w6tnKNc4XCsYTfzwu5qkA/view?usp=drive_link,an hour ago,https://drive.google.com/file/d/17XT6-8tWkpIFvYG76rBbkYfqyoNJ2-Iy/view?usp=drive_link,
,,shout,https://drive.google.com/file/d/10df1OkihSN619dNvZUNtY8y8L7oawigQ/view?usp=drive_link,tomorrow,https://drive.google.com/file/d/1TQc4exml7GEX5ln5v7nXS0RF4hwcVq31/view?usp=drive_link,Future Simple Tense
,,,,next week,https://drive.google.com/file/d/1DplQlE_jOvZEOZ8SjIcCc2o01vFc4E1P/view?usp=drive_link,
,,,,soon,https://drive.google.com/file/d/19-Io--jbJXo3BveVe0KsBySEsga6tS4r/view?usp=drive_link,