โจทย์,เฉลย
they / sit / now,they are sitting now.
they / sit / at the moment,they are sitting at the moment.
they / sit / right now,they are sitting right now.
they / sit / yesterday,they sat yesterday.
they / sit / last week,they sat last week.
they / sit / an hour ago,they sat an hour ago.
they / sit / tomorrow,they will sit tomorrow.
they / sit / next week,they will sit next week.
they / sit / soon,they will sit soon.
they / stand / always,they always stand.
they / stand / sometimes,they sometimes stand.
they / stand / never,they never stand.
they / stand / now,they are standing now.
they / stand / at the moment,they are standing at the moment.
they / stand / right now,they are standing right now.
they / stand / yesterday,they stood yesterday.
they / stand / last week,they stood last week.
they / stand / an hour ago,they stood an hour ago.
they / stand / tomorrow,they will stand tomorrow.
they / stand / next week,they will stand next week.
they / stand / soon,they will stand soon.
they / swim / always,they always swim.
they / swim / sometimes,they sometimes swim.
they / swim / never,they never swim.
they / swim / now,they are swimming now.
they / swim / at the moment,they are swimming at the moment.
they / swim / right now,they are swimming right now.
they / swim / yesterday,they swam yesterday.
they / swim / last week,they swam last week.
they / swim / an hour ago,they swam an hour ago.
they / swim / tomorrow,they will swim tomorrow.
they / swim / next week,they will swim next week.
they / swim / soon,they will swim soon.
they / learn / always,they always learn.
they / learn / sometimes,they sometimes learn.
they / learn / never,they never learn.
they / learn / now,they are learning now.
they / learn / at the moment,they are learning at the moment.
they / learn / right now,they are learning right now.
they / learn / yesterday,they learned yesterday.
they / learn / last week,they learned last week.
they / learn / an hour ago,they learned an hour ago.
they / learn / tomorrow,they will learn tomorrow.
they / learn / next week,they will learn next week.
they / learn / soon,they will learn soon.
they / shout / always,they always shout.
they / shout / sometimes,they sometimes shout.
they / shout / never,they never shout.
they / shout / now,they are shouting now.
they / shout / at the moment,they are shouting at the moment.
they / shout / right now,they are shouting right now.
they / shout / yesterday,they shouted yesterday.
they / shout / last week,they shouted last week.
they / shout / an hour ago,they shouted an hour ago.
they / shout / tomorrow,they will shout tomorrow.
they / shout / next week,they will shout next week.
they / shout / soon,they will shout soon.
he / jump / always,he always jumps.
he / jump / sometimes,he sometimes jumps.
he / jump / never,he never jumps.
he / jump / now,he is jumping now.
he / jump / at the moment,he is jumping at the moment.
he / jump / right now,he is jumping right now.
he / jump / yesterday,he jumped yesterday.
he / jump / last week,he jumped last week.
he / jump / an hour ago,he jumped an hour ago.
he / jump / tomorrow,he will jump tomorrow.
he / jump / next week,he will jump next week.
he / jump / soon,he will jump soon.
he / sleep / always,he always sleeps.
he / sleep / sometimes,he sometimes sleeps.
he / sleep / never,he never sleeps.
he / sleep / now,he is sleeping now.
he / sleep / at the moment,he is sleeping at the moment.
he / sleep / right now,he is sleeping right now.
he / sleep / yesterday,he slept yesterday.
he / sleep / last week,he slept last week.
he / sleep / an hour ago,he slept an hour ago.
he / sleep / tomorrow,he will sleep tomorrow.
he / sleep / next week,he will sleep next week.
he / sleep / soon,he will sleep soon.
he / walk / always,he always walks.
he / walk / sometimes,he sometimes walks.
he / walk / never,he never walks.
he / walk / now,he is walking now.
he / walk / at the moment,he is walking at the moment.
he / walk / right now,he is walking right now.
he / walk / yesterday,he walked yesterday.
he / walk / last week,he walked last week.
he / walk / an hour ago,he walked an hour ago.
he / walk / tomorrow,he will walk tomorrow.
he / walk / next week,he will walk next week.
he / walk / soon,he will walk soon.
he / run / always,he always runs.
he / run / sometimes,he sometimes runs.
he / run / never,he never runs.
he / run / now,he is running now.
he / run / at the moment,he is running at the moment.
he / run / right now,he is running right now.
he / run / yesterday,he ran yesterday.
he / run / last week,he ran last week.
he / run / an hour ago,he ran an hour ago.
he / run / tomorrow,he will run tomorrow.
he / run / next week,he will run next week.
he / run / soon,he will run soon.
he / dance / always,he always dances.
he / dance / sometimes,he sometimes dances.
he / dance / never,he never dances.
he / dance / now,he is dancing now.
he / dance / at the moment,he is dancing at the moment.
he / dance / right now,he is dancing right now.
he / dance / yesterday,he danced yesterday.
he / dance / last week,he danced last week.
he / dance / an hour ago,he danced an hour ago.
he / dance / tomorrow,he will dance tomorrow.
he / dance / next week,he will dance next week.
he / dance / soon,he will dance soon.
he / sit / always,he always sits.
he / sit / sometimes,he sometimes sits.
he / sit / never,he never sits.
he / sit / now,he is sitting now.
he / sit / at the moment,he is sitting at the moment.
he / sit / right now,he is sitting right now.
he / sit / yesterday,he sat yesterday.
he / sit / last week,he sat last week.
he / sit / an hour ago,he sat an hour ago.
he / sit / tomorrow,he will sit tomorrow.
he / sit / next week,he will sit next week.
he / sit / soon,he will sit soon.
he / stand / always,he always stands.
he / stand / sometimes,he sometimes stands.
he / stand / never,he never stands.
he / stand / now,he is standing now.
he / stand / at the moment,he is standing at the moment.
he / stand / right now,he is standing right now.
he / stand / yesterday,he stood yesterday.
he / stand / last week,he stood last week.
he / stand / an hour ago,he stood an hour ago.
he / stand / tomorrow,he will stand tomorrow.
he / stand / next week,he will stand next week.
he / stand / soon,he will stand soon.
he / swim / always,he always swims.
he / swim / sometimes,he sometimes swims.
he / swim / never,he never swims.
he / swim / now,he is swimming now.
he / swim / at the moment,he is swimming at the moment.
he / swim / right now,he is swimming right now.
he / swim / yesterday,he swam yesterday.
he / swim / last week,he swam last week.
he / swim / an hour ago,he swam an hour ago.
he / swim / tomorrow,he will swim tomorrow.
he / swim / next week,he will swim next week.
he / swim / soon,he will swim soon.
he / learn / always,he always learns.
he / learn / sometimes,he sometimes learns.
he / learn / never,he never learns.
he / learn / now,he is learning now.
he / learn / at the moment,he is learning at the moment.
he / learn / right now,he is learning right now.
he / learn / yesterday,he learned yesterday.
he / learn / last week,he learned last week.
he / learn / an hour ago,he learned an hour ago.
he / learn / tomorrow,he will learn tomorrow.
he / learn / next week,he will learn next week.
he / learn / soon,he will learn soon.
he / shout / always,he always shouts.
he / shout / sometimes,he sometimes shouts.
he / shout / never,he never shouts.
he / shout / now,he is shouting now.
he / shout / at the moment,he is shouting at the moment.
he / shout / right now,he is shouting right now.
he / shout / yesterday,he shouted yesterday.
he / shout / last week,he shouted last week.
he / shout / an hour ago,he shouted an hour ago.
he / shout / tomorrow,he will shout tomorrow.
he / shout / next week,he will shout next week.
he / shout / soon,he will shout soon.
she / jump / always,she always jumps.
she / jump / sometimes,she sometimes jumps.
she / jump / never,she never jumps.
she / jump / now,she is jumping now.
she / jump / at the moment,she is jumping at the moment.
she / jump / right now,she is jumping right now.
she / jump / yesterday,she jumped yesterday.
she / jump / last week,she jumped last week.
she / jump / an hour ago,she jumped an hour ago.
she / jump / tomorrow,she will jump tomorrow.
she / jump / next week,she will jump next week.
she / jump / soon,she will jump soon.
she / sleep / always,she always sleeps.
she / sleep / sometimes,she sometimes sleeps.
she / sleep / never,she never sleeps.
she / sleep / now,she is sleeping now.
she / sleep / at the moment,she is sleeping at the moment.
she / sleep / right now,she is sleeping right now.
she / sleep / yesterday,she slept yesterday.
she / sleep / last week,she slept last week.
she / sleep / an hour ago,she slept an hour ago.
she / sleep / tomorrow,she will sleep tomorrow.
she / sleep / next week,she will sleep next week.
she / sleep / soon,she will sleep soon.
she / walk / always,she always walks.
she / walk / sometimes,she sometimes walks.
she / walk / never,she never walks.
she / walk / now,she is walking now.
she / walk / at the moment,she is walking at the moment.
she / walk / right now,she is walking right now.
she / walk / yesterday,she walked yesterday.
she / walk / last week,she walked last week.
she / walk / an hour ago,she walked an hour ago.
she / walk / tomorrow,she will walk tomorrow.
she / walk / next week,she will walk next week.
she / walk / soon,she will walk soon.
she / run / always,she always runs.
she / run / sometimes,she sometimes runs.
she / run / never,she never runs.
she / run / now,she is running now.
she / run / at the moment,she is running at the moment.
she / run / right now,she is running right now.
she / run / yesterday,she ran yesterday.
she / run / last week,she ran last week.
she / run / an hour ago,she ran an hour ago.
she / run / tomorrow,she will run tomorrow.
she / run / next week,she will run next week.
she / run / soon,she will run soon.
she / dance / always,she always dances.
she / dance / sometimes,she sometimes dances.
she / dance / never,she never dances.
she / dance / now,she is dancing now.
she / dance / at the moment,she is dancing at the moment.
she / dance / right now,she is dancing right now.
she / dance / yesterday,she danced yesterday.
she / dance / last week,she danced last week.
she / dance / an hour ago,she danced an hour ago.
she / dance / tomorrow,she will dance tomorrow.
she / dance / next week,she will dance next week.
she / dance / soon,she will dance soon.
she / sit / always,she always sits.
she / sit / sometimes,she sometimes sits.
she / sit / never,she never sits.
she / sit / now,she is sitting now.
she / sit / at the moment,she is sitting at the moment.
she / sit / right now,she is sitting right now.
she / sit / yesterday,she sat yesterday.
she / sit / last week,she sat last week.
she / sit / an hour ago,she sat an hour ago.
she / sit / tomorrow,she will sit tomorrow.
she / sit / next week,she will sit next week.
she / sit / soon,she will sit soon.
she / stand / always,she always stands.
she / stand / sometimes,she sometimes stands.
she / stand / never,she never stands.
she / stand / now,she is standing now.
she / stand / at the moment,she is standing at the moment.
she / stand / right now,she is standing right now.
she / stand / yesterday,she stood yesterday.
she / stand / last week,she stood last week.
she / stand / an hour ago,she stood an hour ago.
she / stand / tomorrow,she will stand tomorrow.
she / stand / next week,she will stand next week.
she / stand / soon,she will stand soon.
she / swim / always,she always swims.
she / swim / sometimes,she sometimes swims.
she / swim / never,she never swims.
she / swim / now,she is swimming now.
she / swim / at the moment,she is swimming at the moment.
she / swim / right now,she is swimming right now.
she / swim / yesterday,she swam yesterday.
she / swim / last week,she swam last week.
she / swim / an hour ago,she swam an hour ago.
she / swim / tomorrow,she will swim tomorrow.
she / swim / next week,she will swim next week.
she / swim / soon,she will swim soon.
she / learn / always,she always learns.
she / learn / sometimes,she sometimes learns.
she / learn / never,she never learns.
she / learn / now,she is learning now.
she / learn / at the moment,she is learning at the moment.
she / learn / right now,she is learning right now.
she / learn / yesterday,she learned yesterday.
she / learn / last week,she learned last week.
she / learn / an hour ago,she learned an hour ago.
she / learn / tomorrow,she will learn tomorrow.
she / learn / next week,she will learn next week.
she / learn / soon,she will learn soon.
she / shout / always,she always shouts.
she / shout / sometimes,she sometimes shouts.
she / shout / never,she never shouts.
she / shout / now,she is shouting now.
she / shout / at the moment,she is shouting at the moment.
she / shout / right now,she is shouting right now.
she / shout / yesterday,she shouted yesterday.
she / shout / last week,she shouted last week.
she / shout / an hour ago,she shouted an hour ago.
she / shout / tomorrow,she will shout tomorrow.
she / shout / next week,she will shout next week.
she / shout / soon,she will shout soon.
it / jump / always,it always jumps.
it / jump / sometimes,it sometimes jumps.
it / jump / never,it never jumps.
it / jump / now,it is jumping now.
it / jump / at the moment,it is jumping at the moment.
it / jump / right now,it is jumping right now.
it / jump / yesterday,it jumped yesterday.
it / jump / last week,it jumped last week.
it / jump / an hour ago,it jumped an hour ago.
it / jump / tomorrow,it will jump tomorrow.
it / jump / next week,it will jump next week.
it / jump / soon,it will jump soon.
it / sleep / always,it always sleeps.
it / sleep / sometimes,it sometimes sleeps.
it / sleep / never,it never sleeps.
it / sleep / now,it is sleeping now.
it / sleep / at the moment,it is sleeping at the moment.
it / sleep / right now,it is sleeping right now.
it / sleep / yesterday,it slept yesterday.
it / sleep / last week,it slept last week.
it / sleep / an hour ago,it slept an hour ago.
it / sleep / tomorrow,it will sleep tomorrow.
it / sleep / next week,it will sleep next week.
it / sleep / soon,it will sleep soon.
it / walk / always,it always walks.
it / walk / sometimes,it sometimes walks.
it / walk / never,it never walks.
it / walk / now,it is walking now.
it / walk / at the moment,it is walking at the moment.
it / walk / right now,it is walking right now.
it / walk / yesterday,it walked yesterday.
it / walk / last week,it walked last week.
it / walk / an hour ago,it walked an hour ago.
it / walk / tomorrow,it will walk tomorrow.
it / walk / next week,it will walk next week.
it / walk / soon,it will walk soon.
it / run / always,it always runs.
it / run / sometimes,it sometimes runs.
it / run / never,it never runs.
it / run / now,it is running now.
it / run / at the moment,it is running at the moment.
it / run / right now,it is running right now.
it / run / yesterday,it ran yesterday.
it / run / last week,it ran last week.
it / run / an hour ago,it ran an hour ago.
it / run / tomorrow,it will run tomorrow.
it / run / next week,it will run next week.
it / run / soon,it will run soon.
it / dance / always,it always dances.
it / dance / sometimes,it sometimes dances.
it / dance / never,it never dances.
it / dance / now,it is dancing now.
it / dance / at the moment,it is dancing at the moment.
it / dance / right now,it is dancing right now.
it / dance / yesterday,it danced yesterday.
it / dance / last week,it danced last week.
it / dance / an hour ago,it danced an hour ago.
it / dance / tomorrow,it will dance tomorrow.
it / dance / next week,it will dance next week.
it / dance / soon,it will dance soon.
it / sit / always,it always sits.
it / sit / sometimes,it sometimes sits.
it / sit / never,it never sits.
it / sit / now,it is sitting now.
it / sit / at the moment,it is sitting at the moment.
it / sit / right now,it is sitting right now.
it / sit / yesterday,it sat yesterday.
it / sit / last week,it sat last week.
it / sit / an hour ago,it sat an hour ago.
it / sit / tomorrow,it will sit tomorrow.
it / sit / next week,it will sit next week.
it / sit / soon,it will sit soon.
it / stand / always,it always stands.
it / stand / sometimes,it sometimes stands.
it / stand / never,it never stands.
it / stand / now,it is standing now.
it / stand / at the moment,it is standing at the moment.
it / stand / right now,it is standing right now.
it / stand / yesterday,it stood yesterday.
it / stand / last week,it stood last week.
it / stand / an hour ago,it stood an hour ago.
it / stand / tomorrow,it will stand tomorrow.
it / stand / next week,it will stand next week.
it / stand / soon,it will stand soon.
it / swim / always,it always swims.
it / swim / sometimes,it sometimes swims.
it / swim / never,it never swims.
it / swim / now,it is swimming now.
it / swim / at the moment,it is swimming at the moment.
it / swim / right now,it is swimming right now.
it / swim / yesterday,it swam yesterday.
it / swim / last week,it swam last week.
it / swim / an hour ago,it swam an hour ago.
it / swim / tomorrow,it will swim tomorrow.
it / swim / next week,it will swim next week.
it / swim / soon,it will swim soon.
it / learn / always,it always learns.
it / learn / sometimes,it sometimes learns.
it / learn / never,it never learns.
it / learn / now,it is learning now.
it / learn / at the moment,it is learning at the moment.
it / learn / right now,it is learning right now.
it / learn / yesterday,it learned yesterday.
it / learn / last week,it learned last week.
it / learn / an hour ago,it learned an hour ago.
it / learn / tomorrow,it will learn tomorrow.
it / learn / next week,it will learn next week.
it / learn / soon,it will learn soon.
it / shout / always,it always shouts.
it / shout / sometimes,it sometimes shouts.
it / shout / never,it never shouts.
it / shout / now,it is shouting now.
it / shout / at the moment,it is shouting at the moment.
it / shout / right now,it is shouting right now.
it / shout / yesterday,it shouted yesterday.
it / shout / last week,it shouted last week.
it / shout / an hour ago,it shouted an hour ago.
it / shout / tomorrow,it will shout tomorrow.
it / shout / next week,it will shout next week.
it / shout / soon,it will shout soon.